0	0	0	0	0	0
256	0	0	260	4	0
512	0	0	514	9	0
768	0	0	754	14	0
1024	0	0	991	19	0
1280	0	0	1240	23	0
1536	0	0	1471	27	0
1792	0	0	1701	32	0
2048	0	0	1938	36	0
2303	0	0	2187	41	0
2559	0	0	2435	45	0
2815	0	0	2662	48	0
3071	0	0	2898	53	0
3327	0	0	3134	58	0
3583	0	0	3366	62	0
3839	0	0	3609	66	0
4095	0	0	3845	70	0
0	256	0	2	258	3
256	256	0	256	264	3
512	256	0	511	269	3
768	256	0	752	273	3
1024	256	0	989	278	2
1280	256	0	1234	282	2
1536	256	0	1466	288	2
1792	256	0	1696	292	2
2048	256	0	1928	294	2
2303	256	0	2170	299	2
2559	256	0	2415	302	1
2815	256	0	2648	305	1
3071	256	0	2888	309	1
3327	256	0	3120	313	1
3583	256	0	3353	318	1
3839	256	0	3602	322	1
4095	256	0	3831	325	0
0	512	0	5	514	6
256	512	0	257	520	6
512	512	0	510	523	6
768	512	0	752	530	6
1024	512	0	992	535	6
1280	512	0	1238	540	5
1536	512	0	1467	544	5
1792	512	0	1698	547	5
2048	512	0	1928	551	5
2303	512	0	2171	555	5
2559	512	0	2421	558	5
2815	512	0	2653	561	4
3071	512	0	2890	564	4
3327	512	0	3118	567	4
3583	512	0	3354	571	4
3839	512	0	3596	574	4
4095	512	0	3828	580	4
0	768	0	7	762	9
256	768	0	258	766	9
512	768	0	513	772	9
768	768	0	756	779	9
1024	768	0	994	783	9
1280	768	0	1236	785	9
1536	768	0	1464	789	8
1792	768	0	1696	792	8
2048	768	0	1925	796	8
2303	768	0	2170	799	8
2559	768	0	2421	803	8
2815	768	0	2655	807	8
3071	768	0	2895	810	7
3327	768	0	3123	813	7
3583	768	0	3356	815	7
3839	768	0	3595	817	7
4095	768	0	3833	825	7
0	1024	0	10	1008	12
256	1024	0	261	1014	12
512	1024	0	517	1021	12
768	1024	0	758	1026	12
1024	1024	0	997	1029	12
1280	1024	0	1236	1031	12
1536	1024	0	1465	1034	11
1792	1024	0	1699	1038	11
2048	1024	0	1931	1043	11
2303	1024	0	2176	1047	11
2559	1024	0	2424	1051	11
2815	1024	0	2659	1053	11
3071	1024	0	2900	1057	10
3327	1024	0	3129	1061	10
3583	1024	0	3358	1062	10
3839	1024	0	3603	1067	10
4095	1024	0	3836	1072	9
0	1280	0	12	1267	16
256	1280	0	260	1273	15
512	1280	0	516	1280	15
768	1280	0	756	1282	15
1024	1280	0	993	1284	15
1280	1280	0	1236	1289	15
1536	1280	0	1465	1292	15
1792	1280	0	1698	1298	14
2048	1280	0	1929	1300	14
2303	1280	0	2174	1303	14
2559	1280	0	2423	1306	14
2815	1280	0	2657	1307	14
3071	1280	0	2897	1309	14
3327	1280	0	3128	1311	13
3583	1280	0	3362	1314	13
3839	1280	0	3608	1320	13
4095	1280	0	3833	1322	12
0	1536	0	16	1501	19
256	1536	0	263	1503	19
512	1536	0	518	1510	18
768	1536	0	757	1511	18
1024	1536	0	997	1518	18
1280	1536	0	1238	1520	18
1536	1536	0	1467	1522	18
1792	1536	0	1700	1526	18
2048	1536	0	1932	1530	17
2303	1536	0	2178	1534	17
2559	1536	0	2429	1537	17
2815	1536	0	2663	1537	17
3071	1536	0	2900	1538	17
