3000	1	0.6666	0.2486
3050	1	0.6754	0.2589
3100	1	0.6853	0.2706
3150	1	0.6952	0.2828
3200	1	0.7039	0.2934
3250	1	0.7126	0.3043
3300	1	0.7232	0.3177
3350	1	0.7306	0.3284
3400	1	0.7387	0.3391
3450	1	0.747	0.3508
3500	1	0.7564	0.362
3550	1	0.7649	0.373
3600	1	0.773	0.3864
3650	1	0.7816	0.397
3700	1	0.7902	0.413
3750	1	0.7928	0.422
3800	1	0.8007	0.432
3850	1	0.8063	0.4432
3900	1	0.8157	0.4579
3950	1	0.8229	0.471
4000	1	0.8291	0.4814
4050	1	0.8321	0.4914
4100	1	0.8445	0.5055
4150	1	0.8491	0.5154
4200	1	0.8564	0.5299
4250	1	0.8567	0.5415
4300	1	0.8561	0.5423
4350	1	0.8723	0.5623
4400	1	0.8776	0.5723
4450	1	0.888	0.5849
4500	1	0.8915	0.5972
4550	1	0.897	0.6091
4600	1	0.902	0.6213
4650	1	0.9076	0.6337
4700	1	0.924	0.6478
4750	1	0.9173	0.657
4800	1	0.9225	0.6673
4850	1	0.9342	0.685
4900	1	0.9327	0.6926
4950	1	0.9374	0.7033
5000	1	0.9432	0.718
5050	1	0.9476	0.7276
5100	1	0.9484	0.7384
5150	1	0.9538	0.7486
5200	1	0.9605	0.7588
5250	1	0.9618	0.7689
5300	1	0.9677	0.7807
5350	1	0.9719	0.7935
5400	1	0.9778	0.8035
5450	1	0.976	0.8137
5500	1	0.9823	0.8242
5550	1	0.9843	0.835
5600	1	0.9918	0.8465
5650	1	1	0.8606
5700	1	1	0.8698
5750	0.9938	1	0.8772
5800	0.9989	1	0.8872
5850	1	1	0.8958
5900	1	1	0.9061
5950	1	1	0.9166
6000	1	1	0.917
6050	1	1	0.9305
6100	1	1	0.9258
6150	0.9987	1	0.9471
6200	0.9778	1	0.9436
6250	0.9718	1	0.9519
6300	0.9685	1	0.9504
6350	0.9708	1	0.9635
6400	0.968	1	0.9706
6450	0.9666	1	0.9766
6500	0.9622	1	0.9821
6550	0.9629	1	0.9912
6600	0.9587	1	0.9948
6650	0.9565	1	1
6700	0.9499	1	1
6750	0.9393	0.9866	1
6800	0.9341	0.9813	1
6850	0.9262	0.9717	1
6900	0.9153	0.9692	1
6950	0.9117	0.9639	1
7000	0.9041	0.9584	1
7050	0.8962	0.9537	1
7100	0.8908	0.9535	1
7150	0.8837	0.944	1
7200	0.8766	0.9392	1
7250	0.8713	0.9334	1
7300	0.8644	0.9244	1
7350	0.858	0.9227	1
7400	0.854	0.9175	1
7450	0.8493	0.9104	1
7500	0.842	0.9094	1
7550	0.8367	0.9071	1
7600	0.8312	0.8982	1
7650	0.8205	0.9007	1
7700	0.8188	0.8923	1
7750	0.8132	0.8874	1
7800	0.8083	0.8829	1
7850	0.8049	0.88	1
7900	0.7988	0.874	1
7950	0.7991	0.8742	1
8000	0.789	0.8668	1
